"Label","Spot.ID","Track.ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual.spot.color","Mean.intensity.ch1","Median.intensity.ch1","Min.intensity.ch1","Max.intensity.ch1","Sum.intensity.ch1","Std.intensity.ch1","Mean.intensity.ch2","Median.intensity.ch2","Min.intensity.ch2","Max.intensity.ch2","Sum.intensity.ch2","Std.intensity.ch2","Mean.intensity.ch3","Median.intensity.ch3","Min.intensity.ch3","Max.intensity.ch3","Sum.intensity.ch3","Std.intensity.ch3","Mean.intensity.ch4","Median.intensity.ch4","Min.intensity.ch4","Max.intensity.ch4","Sum.intensity.ch4","Std.intensity.ch4","Mean.intensity.ch5","Median.intensity.ch5","Min.intensity.ch5","Max.intensity.ch5","Sum.intensity.ch5","Std.intensity.ch5","Mean.intensity.ch6","Median.intensity.ch6","Min.intensity.ch6","Max.intensity.ch6","Sum.intensity.ch6","Std.intensity.ch6","Contrast.ch1","Signal.Noise.ratio.ch1","Contrast.ch2","Signal.Noise.ratio.ch2","Contrast.ch3","Signal.Noise.ratio.ch3","Contrast.ch4","Signal.Noise.ratio.ch4","Contrast.ch5","Signal.Noise.ratio.ch5","Contrast.ch6","Signal.Noise.ratio.ch6","Ellipse.center.x0","Ellipse.center.y0","Ellipse.long.axis","Ellipse.short.axis","Ellipse.angle","Ellipse.aspect.ratio","Area","Perimeter","Circularity","Solidity","Shape.index"
"Track_38.122",13560,38,0.854209184646606,180.167375886525,443.217021276596,0,121,121,12.2313387045892,1,NA,42244.5371549894,41944,20910,63007,19897177,6459.12918956157,5673.80891719745,5712,4921,6325,2672364,304.047108620917,2596.39278131635,2716,864,5721,1222901,827.093699617994,28100.4501061571,26467,14221,41562,13235312,7853.79313325428,0,0,0,0,0,0,0,0,0,0,0,0,0.0104085272467468,0.134746924507068,0.059254615646933,2.08778437855075,0.0995016595629716,0.568172371069435,0.23178100973427,1.34650558881094,NA,NA,NA,NA,0.0172380237057685,-0.0245961365656466,13.2960811427544,11.3438620721085,0.913792867784102,1.17209474676582,470,78.8601299719017,0.949713791872419,0.988433228180862,3.63754654841467
"Track_38.123",13670,38,0.838945627212524,181.012486992716,441.638224072147,0,122,122,12.3672106924444,1,NA,42035.0706860707,41795,23423,63738,20218869,6531.32713632228,5656.07692307692,5676,5017,6378,2720573,304.082486595079,2614.41372141372,2709,876,5589,1257533,799.491951530052,28581.972972973,26625,14832,43069,13747929,8045.63005335928,0,0,0,0,0,0,0,0,0,0,0,0,0.00973718819347945,0.124126798228228,0.0607103478803593,2.12921643973536,0.112195481167405,0.659757677928096,0.234274035456355,1.34857376237957,NA,NA,NA,NA,-0.00795191486769028,-0.00187623015845302,13.2384649702971,11.6461480277756,1.12891427187138,1.13672477275095,480.5,79.5908212477041,0.953185186101376,0.988683127572016,3.6309167370618
"Track_38.124",13782,38,0.791228652000427,179.889746416759,443.266078647556,0,123,123,12.0147215275407,1,NA,42184.8163716814,41787,21543,63223,19067537,6382.50490097698,5634.32522123894,5665,4830,6419,2546715,312.060803361152,2556.71902654867,2655,870,5449,1155637,807.755291197518,29280.389380531,28030,13873,43671,13234736,8834.34333914275,0,0,0,0,0,0,0,0,0,0,0,0,0.00857500644058024,0.112388339554771,0.057422250859168,1.96094066249775,0.0911799904000961,0.528976448128752,0.241607351820875,1.28990711857013,NA,NA,NA,NA,0.00655521781546314,0.00859320481075759,13.5397287227688,10.750627477365,0.95989092693828,1.25943613535826,453.5,78.1028173679996,0.934229883051494,0.989094874591058,3.66756698469881
"Track_38.125",13882,38,0.782387614250183,179.901960784314,443.004901960784,0,124,124,12.3091634899974,1,NA,41983.8322851153,41671,21817,63257,20026288,6418.41863043461,5627.28511530398,5667,4788,6397,2684215,331.058955450329,2487.80922431866,2626,884,5129,1186685,769.435310290251,29448.0649895178,27695,14187,45399,14046727,9066.15258782729,0,0,0,0,0,0,0,0,0,0,0,0,0.00675998091685048,0.0878422720696433,0.0604658292822344,1.9383710264532,0.0981059459060105,0.577731494108085,0.237775770412812,1.24792749894396,NA,NA,NA,NA,-0.0134398224682726,-0.0378548209394761,13.3668481716302,11.4322979577664,0.789138369569824,1.16921796658996,476,80.0067374205837,0.934466410484419,0.983471074380165,3.66710279727899
"Track_38.126",13985,38,0.782878756523132,179.268901303538,442.938547486034,0,125,125,11.9349769194266,1,NA,42186.6398210291,42077,23097,62165,18857428,6384.98310201597,5617.63087248322,5637,4865,6287,2511081,322.673313856672,2498.23266219239,2611,879,5114,1116710,778.318026407739,30623.9015659955,29200,14714,46905,13688884,9312.82051215604,0,0,0,0,0,0,0,0,0,0,0,0,0.0137778888758379,0.179591195478862,0.0600445147922778,1.97228368331845,0.0867451953701464,0.512416952548516,0.256333463912235,1.3418675835903,NA,NA,NA,NA,0.0191628153029216,-0.00618215634897613,13.4966890609175,10.632254851527,0.900806242533272,1.26940985232113,447.5,78.229462265626,0.918887224930921,0.981359649122807,3.69805890993954
"Track_38.127",14057,38,0.839458107948303,179.851292379993,443.555555555556,0,126,126,12.5714302483947,1,NA,41925.8551307847,41811,22807,62148,20837150,6385.37594277608,5584.76056338028,5633,4793,6346,2775626,332.80662707083,2492.67605633803,2596,854,5071,1238860,782.207521404954,30120.4426559356,28404,13083,48189,14969860,9912.2839713896,0,0,0,0,0,0,0,0,0,0,0,0,0.00557987484526409,0.0728674108449041,0.0584252227075308,1.85260479617786,0.116125790561745,0.663115821610355,0.238720777274387,1.17120901891873,NA,NA,NA,NA,0.0217864825923615,-0.0268173060918297,13.6186442458527,11.7058125218516,0.95313763765118,1.16340871002593,496.5,81.1108949749071,0.948354545250294,0.98609731876862,3.64015240532574
"Track_38.113",12686,38,0.873465478420258,181.16835016835,442.065993265993,0,112,112,12.552425807826,1,NA,42194.6350806452,42018,21199,62910,20928539,6561.47294607853,5729.21774193548,5754,4895,6434,2841692,321.271452874454,2693.1310483871,2886,827,4986,1335793,883.918409418425,22571.4939516129,21552,12159,32324,11195461,5664.71986379882,0,0,0,0,0,0,0,0,0,0,0,0,0.00646729542511902,0.0826435417671773,0.0615007485654531,2.06639472088671,0.130815357165424,0.704924064836904,0.196346935415381,1.30791297653174,NA,NA,NA,NA,0.0196443414729638,-0.0107099514741171,12.9132264454608,12.3083346353489,0.454533178984558,1.04914489474269,495,81.1093900776191,0.945524511177627,0.982142857142857,3.64559597565388
"Track_38.114",12785,38,0.855138063430786,179.128893662728,443.31507339778,0,113,113,12.1726435920286,1,NA,42573.0042826552,42306,24094,62054,19881593,6208.17971427926,5678.69379014989,5717,4881,6380,2651950,351.192955326878,2457.1755888651,2728,851,5131,1147501,901.661053721224,22686.9528907923,22247,10482,32848,10594807,6633.92424192207,0,0,0,0,0,0,0,0,0,0,0,0,0.0138025882879053,0.186727013786347,0.0607775346512234,1.8528975924591,0.0636499419529236,0.326153593435378,0.210390163624762,1.18887365386352,NA,NA,NA,NA,0.0147088037036327,-0.0382430669577148,13.0969518171561,11.4030184911662,0.651254881617959,1.1485513092259,465.5,78.9153298590623,0.939305352265632,0.982067510548523,3.65764484535428
"Track_38.115",12881,38,0.857537150382996,179.762993762994,443.298336798337,0,114,114,12.3736435723033,1,NA,42262.3195020747,42216,21048,63223,20370438,6419.62398021834,5688.48132780083,5721,4935,6345,2741848,336.316683042985,2567.8755186722,2772,849,5190,1237716,877.700907257753,23450.0871369295,22435,12159,33872,11302942,6495.44423687766,0,0,0,0,0,0,0,0,0,0,0,0,0.00912467787923002,0.119054673668817,0.0604758700173026,1.9291200521023,0.0976953733109564,0.520774341351524,0.210017179933492,1.25322452094598,NA,NA,NA,NA,0.003766795354849,-0.00214094596414947,13.3564029968837,11.5492217609638,0.799883909069881,1.15647645125563,481,79.0803300246966,0.966535910218834,0.993801652892562,3.60575267929327
"Track_38.116",12985,38,0.84730863571167,179.652457757296,442.68509984639,0,115,115,11.7535735248377,1,NA,42605.5344036697,42167,21491,63564,18576013,6283.04818045303,5716.21100917431,5763,4998,6407,2492268,315.095222196296,2584.91513761468,2795,882,4935,1127023,811.681719315813,24945.2935779817,24054,13578,34572,10876148,6337.77118088055,0,0,0,0,0,0,0,0,0,0,0,0,0.016434864829238,0.21928665647137,0.0622661331037269,2.12674289091497,0.071741312957202,0.42635353595659,0.222892252254805,1.43479164457968,NA,NA,NA,NA,0.0195790771194505,-0.0110882687146689,12.8776696846058,10.8146674777979,0.923951183628797,1.19075965220781,434,76.0235785312695,0.943632687353271,0.987485779294653,3.64924854732292
