Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Mean intensity ch4,Median intensity ch4,Min intensity ch4,Max intensity ch4,Sum intensity ch4,Std intensity ch4,Mean intensity ch5,Median intensity ch5,Min intensity ch5,Max intensity ch5,Sum intensity ch5,Std intensity ch5,Mean intensity ch6,Median intensity ch6,Min intensity ch6,Max intensity ch6,Sum intensity ch6,Std intensity ch6,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Contrast ch4,Signal/Noise ratio ch4,Contrast ch5,Signal/Noise ratio ch5,Contrast ch6,Signal/Noise ratio ch6,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Track_0.62,20225,0,0.8714786171913147,264.72844272844276,37.54568854568855,0.0,61.0,61,9.079772052293041,1,,41128.99610894942,43085.0,21339.0,59120.0,1.0570152E7,9107.85506380432,5046.801556420233,5052.0,4671.0,5299.0,1297028.0,109.59636312427567,6352.894941634241,6799.0,2727.0,8418.0,1632694.0,1554.895610648308,5967.739299610895,5988.0,5317.0,6435.0,1533709.0,177.58795722421624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027664550609003247,-0.2569623493157522,-6.473386568865679E-4,-0.05965719785902678,0.6112174440080284,3.0998595479265907,-0.004636285295253694,-0.3130506966316825,NaN,NaN,NaN,NaN,0.046512112834149744,0.020671400093760315,9.52095967882919,8.733725964050885,-0.6014314162209786,1.0901372126877644,259.0,59.422452371777936,0.921740108314377,0.9866666666666665,3.6923315325469113
Track_0.96,21253,0,0.8533469438552856,262.92919171676687,35.572478289913164,0.0,95.0,95,8.911695495406908,1,,40934.144,42102.0,21575.0,63108.0,1.0233536E7,8197.480970904255,4859.824,4874.0,4495.0,5229.0,1214956.0,125.24613928430082,4435.412,4712.0,1762.0,6432.0,1108853.0,1146.6467902989184,11469.952,11819.0,8518.0,14041.0,2867488.0,1573.8127895280072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011411111950342128,-0.11527829194072249,0.00745894980730419,0.5745614911696854,0.4738221436753179,2.4871648933906743,0.12892359381867566,1.6645865433385103,NaN,NaN,NaN,NaN,-0.044502969294980786,0.029881900131616318,10.905646141513987,7.35251887870935,-0.5425652870334917,1.483253062170763,249.5,59.50938810834832,0.885338691685602,0.9784313725490195,3.7674735308601144
Track_0.45,19718,0,0.8874305486679077,260.03620474406995,35.1267166042447,0.0,44.0,44,9.218933756735217,1,,39975.94814814815,39962.0,22999.0,58143.0,1.0793506E7,5614.538582925593,5032.185185185185,5035.0,4724.0,5337.0,1358690.0,98.84934165062059,16656.874074074072,17952.0,3682.0,24746.0,4497356.0,5441.595174538739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030229825252392168,-0.44389628619062377,-0.0021443142334877465,-0.21879304946364803,0.7555847279197012,2.634866681461247,NaN,NaN,NaN,NaN,NaN,NaN,-0.018997670513486768,2.0251891108292067E-4,9.59726759023263,8.933344502868948,1.045918409194006,1.0743196556620493,267.0,60.146524228982216,0.9274703932596017,0.9816176470588235,3.6809075053612137
Track_0.28,19207,0,0.8751518130302429,260.067053513862,33.00386847195358,0.0,27.0,27,9.0710035596129,1,,39556.29069767442,38977.0,23699.0,55452.0,1.0205523E7,6148.468045948778,5047.37984496124,5057.0,4722.0,5330.0,1302224.0,109.21874625643716,16786.69379844961,18044.0,4631.0,23128.0,4330967.0,4841.6155642135145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0365976820986433,-0.4887924945941183,-0.0010557845536801737,-0.09768612119438286,0.7028196618917171,2.862069057047171,NaN,NaN,NaN,NaN,NaN,NaN,-0.00817877695648926,-0.03268188918470032,10.257542682188022,8.10515876027498,-0.7646406928055004,1.26555728093351,258.5,59.917028961101934,0.9048359990808501,0.9718045112781954,3.726661928288952
Track_0.88,20999,0,0.8211924433708191,262.22748538011695,36.73918128654971,0.0,87.0,87,9.524616399749668,1,,40439.84912280702,41489.0,21545.0,59714.0,1.1525357E7,8506.872565985484,4898.529824561403,4898.0,4550.0,5248.0,1396081.0,117.86040018304341,4740.077192982456,5054.0,1506.0,6652.0,1350922.0,1267.673368288594,9338.322807017545,9492.0,7777.0,10841.0,2661422.0,791.7159166088626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019914146571714253,-0.19318222947856814,0.011693708417706531,0.9607957032727052,0.5680738294724749,2.709232763056953,0.06899415071886916,1.5225320600603687,NaN,NaN,NaN,NaN,0.04351044071768339,0.017421735648386543,9.973904507251282,9.193628213584079,-0.49262725377691335,1.0848714213300799,284.99999999999994,62.50281539872883,0.9167598047429325,0.9861591695501728,3.7023472558220742
Track_0.4,6153,0,0.8997401595115662,258.7376490630324,32.205565019875074,0.0,3.0,3,9.665606633571562,1,,40383.82191780822,40731.0,22646.0,53560.0,1.1792076E7,5263.647417250343,5032.301369863014,5037.0,4673.0,5311.0,1469432.0,103.45321965947142,14491.410958904109,15140.0,4415.0,21403.0,4231492.0,4173.734303560541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03363352290201797,-0.5340490249769434,-0.0019774491582656138,-0.19276030197786514,0.7653853322595792,3.01062380210227,NaN,NaN,NaN,NaN,NaN,NaN,0.0019019815410670552,-0.01868851532810451,10.963914621089542,8.600613579273958,0.4034762122681204,1.2747828419487122,293.5,63.56073779135531,0.9129355315438541,0.9783333333333334,3.710093690336957
Track_0.80,20747,0,0.8636083602905273,262.98636926889714,36.45724907063197,0.0,79.0,79,9.253397180681251,1,,40242.49259259259,41375.0,21678.0,62102.0,1.0865473E7,9178.923714450782,4933.174074074074,4929.0,4569.0,5256.0,1331957.0,123.61793307361296,5322.618518518519,5731.0,2027.0,7050.0,1437107.0,1367.7872501736424,7938.666666666667,8017.0,7155.0,8619.0,2143440.0,340.27361612237297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025791869450139965,-0.23214224498223346,0.010064496445705519,0.795276048876835,0.5977792244207191,2.9117952455291376,0.03042763323232811,1.3778437232770797,NaN,NaN,NaN,NaN,0.025474440034293656,0.00484755215366519,9.68109215427698,8.945065420175988,-0.4478904335504631,1.082282990624177,269.00000000000006,61.382592206482,0.8971637019077776,0.9641577060931902,3.7425626997140538
Track_0.103,21516,0,0.8344742059707642,261.50269905533065,33.95209176788124,0.0,102.0,102,8.866935315394848,1,,41077.353413654615,41772.0,21909.0,61182.0,1.0228261E7,7966.596344621937,4830.586345381526,4837.0,4526.0,5160.0,1202816.0,107.54005993218965,4119.7991967871485,4271.0,1962.0,5987.0,1025830.0,926.4808328881012,13714.469879518072,14070.0,9456.0,17456.0,3414903.0,2418.053127521502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007583215293588826,-0.07879867643070797,0.011032992093076333,0.9803644401087791,0.45286545115823984,2.772128760659591,0.18714822013435914,1.7882323099131547,NaN,NaN,NaN,NaN,0.03625923626853342,0.037821177139330975,9.735633266313643,8.185723247362247,-0.5955352894311673,1.1893430760013584,247.00000000000006,59.33124252347503,0.8817387561666271,0.9648437500000002,3.7751565586107687
Track_0.71,20493,0,0.8543504476547241,263.638783269962,36.38403041825095,0.0,70.0,70,9.14961748196814,1,,40730.68702290076,42295.0,21387.0,60426.0,1.067144E7,9359.763359146316,4981.8511450381675,4984.0,4676.0,5247.0,1305245.0,116.97521096166817,5673.206106870229,6120.0,1528.0,7633.0,1486380.0,1572.5524714186372,6742.332061068702,6769.0,6186.0,7157.0,1766491.0,197.54873408806506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024168271833907705,-0.21555471399924014,0.004655574708397691,0.3947144332605935,0.6104680734715074,2.73504356415475,0.0020668791335679937,0.1407940349697377,NaN,NaN,NaN,NaN,0.009048439625703559,0.02244888334677636,9.7983869535901,8.615879116081992,-0.7095559738928162,1.1372474963467043,263.0000000000001,59.67438827398263,0.9280890764223684,0.9868667917448407,3.6796804167077863
Track_0.19,18960,0,0.8630643486976624,260.99730639730643,33.3993265993266,0.0,18.0,18,8.875905409054797,1,,40098.88259109312,40952.0,17620.0,60429.0,9904424.0,7084.1207111671065,5046.117408906883,5044.0,4637.0,5418.0,1246391.0,116.51797019612381,17437.4008097166,18695.0,5195.0,23538.0,4307038.0,4383.470596317472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030109738382060238,-0.351447692917301,-8.002980131833816E-4,-0.06937354367043227,0.697779520028261,3.269870674286976,NaN,NaN,NaN,NaN,NaN,NaN,0.011687329385200227,-0.009848222252479543,9.329600465311076,8.517236091974972,-0.472009575439788,1.0953788722730748,247.5,57.088601836355735,0.9543029222804773,0.99,3.628789741553494
